単位_db_code,単位_db,表頭_集計項目_db_code,表頭_集計項目_db,表側_集計項目_db_code,表側_集計項目_db,都道府県_code,都道府県,時間軸_db_code,時間軸_db,unit,value
0101300,百万円,01040100,販売額,01030100,販売額等,01000,北海道,2022000000,2022年,,596703
0101300,百万円,01040100,販売額,01030100,販売額等,01000,北海道,2023000000,2023年,,636332
0101300,百万円,01040100,販売額,01030100,販売額等,01000,北海道,2024000000,2024年,,641263
0101300,百万円,01040100,販売額,01030100,販売額等,01000,北海道,2021100000,2021年度,,573792
0101300,百万円,01040100,販売額,01030100,販売額等,01000,北海道,2022100000,2022年度,,605785
0101300,百万円,01040100,販売額,01030100,販売額等,01000,北海道,2023100000,2023年度,,640790
0101300,百万円,01040100,販売額,01030100,販売額等,01000,北海道,2023001012,2023年10～12月,,160625
0101300,百万円,01040100,販売額,01030100,販売額等,01000,北海道,2024000103,2024年1～3月,,149709
0101300,百万円,01040100,販売額,01030100,販売額等,01000,北海道,2024000406,2024年4～6月,,156757
0101300,百万円,01040100,販売額,01030100,販売額等,01000,北海道,2024000709,2024年7～9月,,171036
0101300,百万円,01040100,販売額,01030100,販売額等,01000,北海道,2024001012,2024年10～12月,,163761
0101300,百万円,01040100,販売額,01030100,販売額等,01000,北海道,2023001111,2023年11月,,50795
0101300,百万円,01040100,販売額,01030100,販売額等,01000,北海道,2023001212,2023年12月,,55682
0101300,百万円,01040100,販売額,01030100,販売額等,01000,北海道,2024000101,2024年1月,,50120
0101300,百万円,01040100,販売額,01030100,販売額等,01000,北海道,2024000202,2024年2月,,48501
0101300,百万円,01040100,販売額,01030100,販売額等,01000,北海道,2024000303,2024年3月,,51088
0101300,百万円,01040100,販売額,01030100,販売額等,01000,北海道,2024000404,2024年4月,,50348
0101300,百万円,01040100,販売額,01030100,販売額等,01000,北海道,2024000505,2024年5月,,52746
0101300,百万円,01040100,販売額,01030100,販売額等,01000,北海道,2024000606,2024年6月,,53663
0101300,百万円,01040100,販売額,01030100,販売額等,01000,北海道,2024000707,2024年7月,,58134
0101300,百万円,01040100,販売額,01030100,販売額等,01000,北海道,2024000808,2024年8月,,58864
0101300,百万円,01040100,販売額,01030100,販売額等,01000,北海道,2024000909,2024年9月,,54038
0101300,百万円,01040100,販売額,01030100,販売額等,01000,北海道,2024001010,2024年10月,,54812
0101300,百万円,01040100,販売額,01030100,販売額等,01000,北海道,2024001111,2024年11月,,51824
0101300,百万円,01040100,販売額,01030100,販売額等,01000,北海道,2024001212,2024年12月,,57125
0101300,百万円,01040100,販売額,01030100,販売額等,01000,北海道,2025000101,2025年1月,,51986
0101300,百万円,01040100,販売額,01030100,販売額等,02000,青森県,2022000000,2022年,,104809
0101300,百万円,01040100,販売額,01030100,販売額等,02000,青森県,2023000000,2023年,,108629
0101300,百万円,01040100,販売額,01030100,販売額等,02000,青森県,2024000000,2024年,,108334
0101300,百万円,01040100,販売額,01030100,販売額等,02000,青森県,2021100000,2021年度,,101472
0101300,百万円,01040100,販売額,01030100,販売額等,02000,青森県,2022100000,2022年度,,105906
0101300,百万円,01040100,販売額,01030100,販売額等,02000,青森県,2023100000,2023年度,,108767
0101300,百万円,01040100,販売額,01030100,販売額等,02000,青森県,2023001012,2023年10～12月,,27176
0101300,百万円,01040100,販売額,01030100,販売額等,02000,青森県,2024000103,2024年1～3月,,25120
0101300,百万円,01040100,販売額,01030100,販売額等,02000,青森県,2024000406,2024年4～6月,,27057
0101300,百万円,01040100,販売額,01030100,販売額等,02000,青森県,2024000709,2024年7～9月,,28740
0101300,百万円,01040100,販売額,01030100,販売額等,02000,青森県,2024001012,2024年10～12月,,27417
0101300,百万円,01040100,販売額,01030100,販売額等,02000,青森県,2023001111,2023年11月,,8651
0101300,百万円,01040100,販売額,01030100,販売額等,02000,青森県,2023001212,2023年12月,,9295
0101300,百万円,01040100,販売額,01030100,販売額等,02000,青森県,2024000101,2024年1月,,8471
0101300,百万円,01040100,販売額,01030100,販売額等,02000,青森県,2024000202,2024年2月,,7991
0101300,百万円,01040100,販売額,01030100,販売額等,02000,青森県,2024000303,2024年3月,,8658
0101300,百万円,01040100,販売額,01030100,販売額等,02000,青森県,2024000404,2024年4月,,8780
0101300,百万円,01040100,販売額,01030100,販売額等,02000,青森県,2024000505,2024年5月,,9092
0101300,百万円,01040100,販売額,01030100,販売額等,02000,青森県,2024000606,2024年6月,,9185
0101300,百万円,01040100,販売額,01030100,販売額等,02000,青森県,2024000707,2024年7月,,9624
0101300,百万円,01040100,販売額,01030100,販売額等,02000,青森県,2024000808,2024年8月,,10100
0101300,百万円,01040100,販売額,01030100,販売額等,02000,青森県,2024000909,2024年9月,,9016
0101300,百万円,01040100,販売額,01030100,販売額等,02000,青森県,2024001010,2024年10月,,9255
0101300,百万円,01040100,販売額,01030100,販売額等,02000,青森県,2024001111,2024年11月,,8793
0101300,百万円,01040100,販売額,01030100,販売額等,02000,青森県,2024001212,2024年12月,,9369
0101300,百万円,01040100,販売額,01030100,販売額等,02000,青森県,2025000101,2025年1月,,8757
0101300,百万円,01040100,販売額,01030100,販売額等,03000,岩手県,2022000000,2022年,,102846
0101300,百万円,01040100,販売額,01030100,販売額等,03000,岩手県,2023000000,2023年,,104918
0101300,百万円,01040100,販売額,01030100,販売額等,03000,岩手県,2024000000,2024年,,104296
0101300,百万円,01040100,販売額,01030100,販売額等,03000,岩手県,2021100000,2021年度,,100848
0101300,百万円,01040100,販売額,01030100,販売額等,03000,岩手県,2022100000,2022年度,,103542
0101300,百万円,01040100,販売額,01030100,販売額等,03000,岩手県,2023100000,2023年度,,104787
0101300,百万円,01040100,販売額,01030100,販売額等,03000,岩手県,2023001012,2023年10～12月,,26152
0101300,百万円,01040100,販売額,01030100,販売額等,03000,岩手県,2024000103,2024年1～3月,,24521
0101300,百万円,01040100,販売額,01030100,販売額等,03000,岩手県,2024000406,2024年4～6月,,25922
0101300,百万円,01040100,販売額,01030100,販売額等,03000,岩手県,2024000709,2024年7～9月,,27446
0101300,百万円,01040100,販売額,01030100,販売額等,03000,岩手県,2024001012,2024年10～12月,,26407
0101300,百万円,01040100,販売額,01030100,販売額等,03000,岩手県,2023001111,2023年11月,,8286
0101300,百万円,01040100,販売額,01030100,販売額等,03000,岩手県,2023001212,2023年12月,,9016
0101300,百万円,01040100,販売額,01030100,販売額等,03000,岩手県,2024000101,2024年1月,,8244
0101300,百万円,01040100,販売額,01030100,販売額等,03000,岩手県,2024000202,2024年2月,,7799
0101300,百万円,01040100,販売額,01030100,販売額等,03000,岩手県,2024000303,2024年3月,,8478
0101300,百万円,01040100,販売額,01030100,販売額等,03000,岩手県,2024000404,2024年4月,,8403
0101300,百万円,01040100,販売額,01030100,販売額等,03000,岩手県,2024000505,2024年5月,,8762
0101300,百万円,01040100,販売額,01030100,販売額等,03000,岩手県,2024000606,2024年6月,,8757
0101300,百万円,01040100,販売額,01030100,販売額等,03000,岩手県,2024000707,2024年7月,,9232
0101300,百万円,01040100,販売額,01030100,販売額等,03000,岩手県,2024000808,2024年8月,,9524
0101300,百万円,01040100,販売額,01030100,販売額等,03000,岩手県,2024000909,2024年9月,,8690
0101300,百万円,01040100,販売額,01030100,販売額等,03000,岩手県,2024001010,2024年10月,,8869
0101300,百万円,01040100,販売額,01030100,販売額等,03000,岩手県,2024001111,2024年11月,,8403
0101300,百万円,01040100,販売額,01030100,販売額等,03000,岩手県,2024001212,2024年12月,,9135
0101300,百万円,01040100,販売額,01030100,販売額等,03000,岩手県,2025000101,2025年1月,,8492
0101300,百万円,01040100,販売額,01030100,販売額等,04000,宮城県,2022000000,2022年,,238965
0101300,百万円,01040100,販売額,01030100,販売額等,04000,宮城県,2023000000,2023年,,245823
0101300,百万円,01040100,販売額,01030100,販売額等,04000,宮城県,2024000000,2024年,,244038
0101300,百万円,01040100,販売額,01030100,販売額等,04000,宮城県,2021100000,2021年度,,232878
0101300,百万円,01040100,販売額,01030100,販売額等,04000,宮城県,2022100000,2022年度,,241177
0101300,百万円,01040100,販売額,01030100,販売額等,04000,宮城県,2023100000,2023年度,,246139
0101300,百万円,01040100,販売額,01030100,販売額等,04000,宮城県,2023001012,2023年10～12月,,61860
0101300,百万円,01040100,販売額,01030100,販売額等,04000,宮城県,2024000103,2024年1～3月,,58041
0101300,百万円,01040100,販売額,01030100,販売額等,04000,宮城県,2024000406,2024年4～6月,,60841
0101300,百万円,01040100,販売額,01030100,販売額等,04000,宮城県,2024000709,2024年7～9月,,63225
0101300,百万円,01040100,販売額,01030100,販売額等,04000,宮城県,2024001012,2024年10～12月,,61931
0101300,百万円,01040100,販売額,01030100,販売額等,04000,宮城県,2023001111,2023年11月,,19749
0101300,百万円,01040100,販売額,01030100,販売額等,04000,宮城県,2023001212,2023年12月,,21286
0101300,百万円,01040100,販売額,01030100,販売額等,04000,宮城県,2024000101,2024年1月,,19306
0101300,百万円,01040100,販売額,01030100,販売額等,04000,宮城県,2024000202,2024年2月,,18586
0101300,百万円,01040100,販売額,01030100,販売額等,04000,宮城県,2024000303,2024年3月,,20149
0101300,百万円,01040100,販売額,01030100,販売額等,04000,宮城県,2024000404,2024年4月,,19891
0101300,百万円,01040100,販売額,01030100,販売額等,04000,宮城県,2024000505,2024年5月,,20518
0101300,百万円,01040100,販売額,01030100,販売額等,04000,宮城県,2024000606,2024年6月,,20432
0101300,百万円,01040100,販売額,01030100,販売額等,04000,宮城県,2024000707,2024年7月,,21616
0101300,百万円,01040100,販売額,01030100,販売額等,04000,宮城県,2024000808,2024年8月,,21612
0101300,百万円,01040100,販売額,01030100,販売額等,04000,宮城県,2024000909,2024年9月,,19997
0101300,百万円,01040100,販売額,01030100,販売額等,04000,宮城県,2024001010,2024年10月,,20709
0101300,百万円,01040100,販売額,01030100,販売額等,04000,宮城県,2024001111,2024年11月,,19815
0101300,百万円,01040100,販売額,01030100,販売額等,04000,宮城県,2024001212,2024年12月,,21407
0101300,百万円,01040100,販売額,01030100,販売額等,04000,宮城県,2025000101,2025年1月,,19902
0101300,百万円,01040100,販売額,01030100,販売額等,05000,秋田県,2022000000,2022年,,79132
0101300,百万円,01040100,販売額,01030100,販売額等,05000,秋田県,2023000000,2023年,,79009
0101300,百万円,01040100,販売額,01030100,販売額等,05000,秋田県,2024000000,2024年,,78785
0101300,百万円,01040100,販売額,01030100,販売額等,05000,秋田県,2021100000,2021年度,,74684
0101300,百万円,01040100,販売額,01030100,販売額等,05000,秋田県,2022100000,2022年度,,79745
0101300,百万円,01040100,販売額,01030100,販売額等,05000,秋田県,2023100000,2023年度,,79059
0101300,百万円,01040100,販売額,01030100,販売額等,05000,秋田県,2023001012,2023年10～12月,,19707
0101300,百万円,01040100,販売額,01030100,販売額等,05000,秋田県,2024000103,2024年1～3月,,18163
0101300,百万円,01040100,販売額,01030100,販売額等,05000,秋田県,2024000406,2024年4～6月,,19721
0101300,百万円,01040100,販売額,01030100,販売額等,05000,秋田県,2024000709,2024年7～9月,,20931
0101300,百万円,01040100,販売額,01030100,販売額等,05000,秋田県,2024001012,2024年10～12月,,19970
0101300,百万円,01040100,販売額,01030100,販売額等,05000,秋田県,2023001111,2023年11月,,6225
0101300,百万円,01040100,販売額,01030100,販売額等,05000,秋田県,2023001212,2023年12月,,6787
