単位_db_code,単位_db,表頭_集計項目_db_code,表頭_集計項目_db,表側_集計項目_db_code,表側_集計項目_db,都道府県_code,都道府県,時間軸_db_code,時間軸_db,unit,value
0101300,百万円,01040110,販売額等,01030100,販売額等,01000,北海道,2022000000,2022年,,137823
0101300,百万円,01040110,販売額等,01030100,販売額等,01000,北海道,2023000000,2023年,,136097
0101300,百万円,01040110,販売額等,01030100,販売額等,01000,北海道,2024000000,2024年,,134333
0101300,百万円,01040110,販売額等,01030100,販売額等,01000,北海道,2021100000,2021年度,,138437
0101300,百万円,01040110,販売額等,01030100,販売額等,01000,北海道,2022100000,2022年度,,138186
0101300,百万円,01040110,販売額等,01030100,販売額等,01000,北海道,2023100000,2023年度,,135188
0101300,百万円,01040110,販売額等,01030100,販売額等,01000,北海道,2023001012,2023年10～12月,,36929
0101300,百万円,01040110,販売額等,01030100,販売額等,01000,北海道,2024000103,2024年1～3月,,25278
0101300,百万円,01040110,販売額等,01030100,販売額等,01000,北海道,2024000406,2024年4～6月,,39138
0101300,百万円,01040110,販売額等,01030100,販売額等,01000,北海道,2024000709,2024年7～9月,,34246
0101300,百万円,01040110,販売額等,01030100,販売額等,01000,北海道,2024001012,2024年10～12月,,35671
0101300,百万円,01040110,販売額等,01030100,販売額等,01000,北海道,2023001111,2023年11月,,11706
0101300,百万円,01040110,販売額等,01030100,販売額等,01000,北海道,2023001212,2023年12月,,13511
0101300,百万円,01040110,販売額等,01030100,販売額等,01000,北海道,2024000101,2024年1月,,8535
0101300,百万円,01040110,販売額等,01030100,販売額等,01000,北海道,2024000202,2024年2月,,7409
0101300,百万円,01040110,販売額等,01030100,販売額等,01000,北海道,2024000303,2024年3月,,9334
0101300,百万円,01040110,販売額等,01030100,販売額等,01000,北海道,2024000404,2024年4月,,12746
0101300,百万円,01040110,販売額等,01030100,販売額等,01000,北海道,2024000505,2024年5月,,13911
0101300,百万円,01040110,販売額等,01030100,販売額等,01000,北海道,2024000606,2024年6月,,12481
0101300,百万円,01040110,販売額等,01030100,販売額等,01000,北海道,2024000707,2024年7月,,12280
0101300,百万円,01040110,販売額等,01030100,販売額等,01000,北海道,2024000808,2024年8月,,11728
0101300,百万円,01040110,販売額等,01030100,販売額等,01000,北海道,2024000909,2024年9月,,10238
0101300,百万円,01040110,販売額等,01030100,販売額等,01000,北海道,2024001010,2024年10月,,10945
0101300,百万円,01040110,販売額等,01030100,販売額等,01000,北海道,2024001111,2024年11月,,11529
0101300,百万円,01040110,販売額等,01030100,販売額等,01000,北海道,2024001212,2024年12月,,13197
0101300,百万円,01040110,販売額等,01030100,販売額等,01000,北海道,2025000101,2025年1月,,8161
0101300,百万円,01040110,販売額等,01030100,販売額等,02000,青森県,2022000000,2022年,,44380
0101300,百万円,01040110,販売額等,01030100,販売額等,02000,青森県,2023000000,2023年,,42938
0101300,百万円,01040110,販売額等,01030100,販売額等,02000,青森県,2024000000,2024年,,42180
0101300,百万円,01040110,販売額等,01030100,販売額等,02000,青森県,2021100000,2021年度,,44165
0101300,百万円,01040110,販売額等,01030100,販売額等,02000,青森県,2022100000,2022年度,,44511
0101300,百万円,01040110,販売額等,01030100,販売額等,02000,青森県,2023100000,2023年度,,42418
0101300,百万円,01040110,販売額等,01030100,販売額等,02000,青森県,2023001012,2023年10～12月,,11706
0101300,百万円,01040110,販売額等,01030100,販売額等,02000,青森県,2024000103,2024年1～3月,,8039
0101300,百万円,01040110,販売額等,01030100,販売額等,02000,青森県,2024000406,2024年4～6月,,12301
0101300,百万円,01040110,販売額等,01030100,販売額等,02000,青森県,2024000709,2024年7～9月,,10502
0101300,百万円,01040110,販売額等,01030100,販売額等,02000,青森県,2024001012,2024年10～12月,,11338
0101300,百万円,01040110,販売額等,01030100,販売額等,02000,青森県,2023001111,2023年11月,,3785
0101300,百万円,01040110,販売額等,01030100,販売額等,02000,青森県,2023001212,2023年12月,,4237
0101300,百万円,01040110,販売額等,01030100,販売額等,02000,青森県,2024000101,2024年1月,,2646
0101300,百万円,01040110,販売額等,01030100,販売額等,02000,青森県,2024000202,2024年2月,,2273
0101300,百万円,01040110,販売額等,01030100,販売額等,02000,青森県,2024000303,2024年3月,,3120
0101300,百万円,01040110,販売額等,01030100,販売額等,02000,青森県,2024000404,2024年4月,,4276
0101300,百万円,01040110,販売額等,01030100,販売額等,02000,青森県,2024000505,2024年5月,,4292
0101300,百万円,01040110,販売額等,01030100,販売額等,02000,青森県,2024000606,2024年6月,,3733
0101300,百万円,01040110,販売額等,01030100,販売額等,02000,青森県,2024000707,2024年7月,,3624
0101300,百万円,01040110,販売額等,01030100,販売額等,02000,青森県,2024000808,2024年8月,,3681
0101300,百万円,01040110,販売額等,01030100,販売額等,02000,青森県,2024000909,2024年9月,,3197
