表章項目_code,表章項目,国籍・地域_code,国籍・地域,港_code,港,時間軸(年次)_code,時間軸(年次),unit,value
420,船舶観光上陸許可を受けた外国人,50000,総数,50000,総数,2024000000,2024年,人,1256518
420,船舶観光上陸許可を受けた外国人,50000,総数,50000,総数,2023000000,2023年,人,166460
420,船舶観光上陸許可を受けた外国人,50000,総数,50000,総数,2022000000,2022年,人,0
420,船舶観光上陸許可を受けた外国人,50000,総数,50000,総数,2021000000,2021年,人,0
420,船舶観光上陸許可を受けた外国人,50000,総数,50000,総数,2020000000,2020年,人,119960
420,船舶観光上陸許可を受けた外国人,50000,総数,50000,総数,2019000000,2019年,人,2026307
420,船舶観光上陸許可を受けた外国人,50000,総数,50000,総数,2018000000,2018年,人,2337803
420,船舶観光上陸許可を受けた外国人,50000,総数,50000,総数,2017000000,2017年,人,2449299
420,船舶観光上陸許可を受けた外国人,50000,総数,50000,総数,2016000000,2016年,人,1936469
420,船舶観光上陸許可を受けた外国人,50000,総数,50130,釧路,2019000000,2019年,人,11
420,船舶観光上陸許可を受けた外国人,50000,総数,50130,釧路,2018000000,2018年,人,1
420,船舶観光上陸許可を受けた外国人,50000,総数,50160,小樽,2024000000,2024年,人,3617
420,船舶観光上陸許可を受けた外国人,50000,総数,50160,小樽,2023000000,2023年,人,2109
420,船舶観光上陸許可を受けた外国人,50000,総数,50160,小樽,2019000000,2019年,人,2680
420,船舶観光上陸許可を受けた外国人,50000,総数,50160,小樽,2018000000,2018年,人,2
420,船舶観光上陸許可を受けた外国人,50000,総数,50160,小樽,2017000000,2017年,人,2700
420,船舶観光上陸許可を受けた外国人,50000,総数,50160,小樽,2016000000,2016年,人,1988
420,船舶観光上陸許可を受けた外国人,50000,総数,50170,室蘭,2023000000,2023年,人,1981
420,船舶観光上陸許可を受けた外国人,50000,総数,50170,室蘭,2018000000,2018年,人,2997
420,船舶観光上陸許可を受けた外国人,50000,総数,50170,室蘭,2016000000,2016年,人,9181
420,船舶観光上陸許可を受けた外国人,50000,総数,50180,函館,2024000000,2024年,人,1653
420,船舶観光上陸許可を受けた外国人,50000,総数,50180,函館,2019000000,2019年,人,2
420,船舶観光上陸許可を受けた外国人,50000,総数,50180,函館,2017000000,2017年,人,550
420,船舶観光上陸許可を受けた外国人,50000,総数,50180,函館,2016000000,2016年,人,1736
420,船舶観光上陸許可を受けた外国人,50000,総数,50320,青森,2018000000,2018年,人,1
420,船舶観光上陸許可を受けた外国人,50000,総数,50320,青森,2017000000,2017年,人,1
420,船舶観光上陸許可を受けた外国人,50000,総数,50380,秋田船川,2024000000,2024年,人,1
420,船舶観光上陸許可を受けた外国人,50000,総数,50580,東京,2023000000,2023年,人,1
420,船舶観光上陸許可を受けた外国人,50000,総数,50580,東京,2019000000,2019年,人,2
420,船舶観光上陸許可を受けた外国人,50000,総数,50580,東京,2018000000,2018年,人,4
420,船舶観光上陸許可を受けた外国人,50000,総数,50580,東京,2016000000,2016年,人,844
420,船舶観光上陸許可を受けた外国人,50000,総数,50600,新潟,2024000000,2024年,人,2016
420,船舶観光上陸許可を受けた外国人,50000,総数,50740,横浜,2024000000,2024年,人,1
420,船舶観光上陸許可を受けた外国人,50000,総数,50740,横浜,2023000000,2023年,人,1
420,船舶観光上陸許可を受けた外国人,50000,総数,50740,横浜,2019000000,2019年,人,6108
420,船舶観光上陸許可を受けた外国人,50000,総数,50740,横浜,2018000000,2018年,人,33
420,船舶観光上陸許可を受けた外国人,50000,総数,50740,横浜,2017000000,2017年,人,3451
420,船舶観光上陸許可を受けた外国人,50000,総数,50740,横浜,2016000000,2016年,人,1
420,船舶観光上陸許可を受けた外国人,50000,総数,50850,清水,2024000000,2024年,人,220
420,船舶観光上陸許可を受けた外国人,50000,総数,50980,名古屋,2016000000,2016年,人,4
420,船舶観光上陸許可を受けた外国人,50000,総数,51090,金沢,2024000000,2024年,人,2
420,船舶観光上陸許可を受けた外国人,50000,総数,51090,金沢,2019000000,2019年,人,1
420,船舶観光上陸許可を受けた外国人,50000,総数,51090,金沢,2018000000,2018年,人,5683
420,船舶観光上陸許可を受けた外国人,50000,総数,51090,金沢,2017000000,2017年,人,2027
420,船舶観光上陸許可を受けた外国人,50000,総数,51270,大阪,2024000000,2024年,人,4115
420,船舶観光上陸許可を受けた外国人,50000,総数,51270,大阪,2019000000,2019年,人,43099
420,船舶観光上陸許可を受けた外国人,50000,総数,51270,大阪,2018000000,2018年,人,26845
420,船舶観光上陸許可を受けた外国人,50000,総数,51270,大阪,2017000000,2017年,人,31509
420,船舶観光上陸許可を受けた外国人,50000,総数,51270,大阪,2016000000,2016年,人,2357
420,船舶観光上陸許可を受けた外国人,50000,総数,51280,舞鶴,2024000000,2024年,人,1
420,船舶観光上陸許可を受けた外国人,50000,総数,51280,舞鶴,2019000000,2019年,人,15367
420,船舶観光上陸許可を受けた外国人,50000,総数,51280,舞鶴,2017000000,2017年,人,1642
420,船舶観光上陸許可を受けた外国人,50000,総数,51410,神戸,2024000000,2024年,人,16858
420,船舶観光上陸許可を受けた外国人,50000,総数,51410,神戸,2020000000,2020年,人,2
420,船舶観光上陸許可を受けた外国人,50000,総数,51410,神戸,2019000000,2019年,人,10630
420,船舶観光上陸許可を受けた外国人,50000,総数,51410,神戸,2018000000,2018年,人,6263
420,船舶観光上陸許可を受けた外国人,50000,総数,51410,神戸,2017000000,2017年,人,8521
420,船舶観光上陸許可を受けた外国人,50000,総数,51410,神戸,2016000000,2016年,人,6936
420,船舶観光上陸許可を受けた外国人,50000,総数,51530,高知,2019000000,2019年,人,2071
420,船舶観光上陸許可を受けた外国人,50000,総数,51530,高知,2018000000,2018年,人,14940
420,船舶観光上陸許可を受けた外国人,50000,総数,51530,高知,2017000000,2017年,人,33153
420,船舶観光上陸許可を受けた外国人,50000,総数,51530,高知,2016000000,2016年,人,29228
420,船舶観光上陸許可を受けた外国人,50000,総数,51810,広島,2024000000,2024年,人,1
420,船舶観光上陸許可を受けた外国人,50000,総数,51810,広島,2023000000,2023年,人,654
420,船舶観光上陸許可を受けた外国人,50000,総数,51810,広島,2018000000,2018年,人,14016
420,船舶観光上陸許可を受けた外国人,50000,総数,51810,広島,2017000000,2017年,人,28430
420,船舶観光上陸許可を受けた外国人,50000,総数,51810,広島,2016000000,2016年,人,19147
420,船舶観光上陸許可を受けた外国人,50000,総数,51880,境,2024000000,2024年,人,4613
420,船舶観光上陸許可を受けた外国人,50000,総数,51880,境,2023000000,2023年,人,1872
420,船舶観光上陸許可を受けた外国人,50000,総数,51880,境,2019000000,2019年,人,6469
420,船舶観光上陸許可を受けた外国人,50000,総数,51880,境,2018000000,2018年,人,12065
420,船舶観光上陸許可を受けた外国人,50000,総数,51880,境,2017000000,2017年,人,16474
420,船舶観光上陸許可を受けた外国人,50000,総数,51880,境,2016000000,2016年,人,12097
420,船舶観光上陸許可を受けた外国人,50000,総数,52170,関門(下関),2024000000,2024年,人,12300
420,船舶観光上陸許可を受けた外国人,50000,総数,52170,関門(下関),2023000000,2023年,人,1764
420,船舶観光上陸許可を受けた外国人,50000,総数,52170,関門(下関),2019000000,2019年,人,49218
420,船舶観光上陸許可を受けた外国人,50000,総数,52170,関門(下関),2018000000,2018年,人,49500
420,船舶観光上陸許可を受けた外国人,50000,総数,52170,関門(下関),2017000000,2017年,人,71423
420,船舶観光上陸許可を受けた外国人,50000,総数,52170,関門(下関),2016000000,2016年,人,9522
420,船舶観光上陸許可を受けた外国人,50000,総数,52310,博多,2024000000,2024年,人,371652
420,船舶観光上陸許可を受けた外国人,50000,総数,52310,博多,2023000000,2023年,人,37322
420,船舶観光上陸許可を受けた外国人,50000,総数,52310,博多,2020000000,2020年,人,44705
420,船舶観光上陸許可を受けた外国人,50000,総数,52310,博多,2019000000,2019年,人,462842
420,船舶観光上陸許可を受けた外国人,50000,総数,52310,博多,2018000000,2018年,人,535624
420,船舶観光上陸許可を受けた外国人,50000,総数,52310,博多,2017000000,2017年,人,609027
420,船舶観光上陸許可を受けた外国人,50000,総数,52310,博多,2016000000,2016年,人,781274
420,船舶観光上陸許可を受けた外国人,50000,総数,52340,唐津,2019000000,2019年,人,177
420,船舶観光上陸許可を受けた外国人,50000,総数,52340,唐津,2018000000,2018年,人,354
420,船舶観光上陸許可を受けた外国人,50000,総数,52350,長崎,2024000000,2024年,人,189597
420,船舶観光上陸許可を受けた外国人,50000,総数,52350,長崎,2023000000,2023年,人,21181
420,船舶観光上陸許可を受けた外国人,50000,総数,52350,長崎,2020000000,2020年,人,14765
420,船舶観光上陸許可を受けた外国人,50000,総数,52350,長崎,2019000000,2019年,人,346325
420,船舶観光上陸許可を受けた外国人,50000,総数,52350,長崎,2018000000,2018年,人,472383
420,船舶観光上陸許可を受けた外国人,50000,総数,52350,長崎,2017000000,2017年,人,587130
420,船舶観光上陸許可を受けた外国人,50000,総数,52350,長崎,2016000000,2016年,人,435378
420,船舶観光上陸許可を受けた外国人,50000,総数,52370,佐世保,2024000000,2024年,人,126123
420,船舶観光上陸許可を受けた外国人,50000,総数,52370,佐世保,2023000000,2023年,人,5617
420,船舶観光上陸許可を受けた外国人,50000,総数,52370,佐世保,2020000000,2020年,人,3841
420,船舶観光上陸許可を受けた外国人,50000,総数,52370,佐世保,2019000000,2019年,人,112976
420,船舶観光上陸許可を受けた外国人,50000,総数,52370,佐世保,2018000000,2018年,人,183965
420,船舶観光上陸許可を受けた外国人,50000,総数,52370,佐世保,2017000000,2017年,人,80960
420,船舶観光上陸許可を受けた外国人,50000,総数,52370,佐世保,2016000000,2016年,人,61081
420,船舶観光上陸許可を受けた外国人,50000,総数,52470,八代,2024000000,2024年,人,31980
420,船舶観光上陸許可を受けた外国人,50000,総数,52470,八代,2019000000,2019年,人,36935
420,船舶観光上陸許可を受けた外国人,50000,総数,52470,八代,2018000000,2018年,人,94896
420,船舶観光上陸許可を受けた外国人,50000,総数,52470,八代,2017000000,2017年,人,214361
420,船舶観光上陸許可を受けた外国人,50000,総数,52470,八代,2016000000,2016年,人,29488
420,船舶観光上陸許可を受けた外国人,50000,総数,52620,関門(門司),2023000000,2023年,人,494
420,船舶観光上陸許可を受けた外国人,50000,総数,52620,関門(門司),2019000000,2019年,人,990
420,船舶観光上陸許可を受けた外国人,50000,総数,52620,関門(門司),2018000000,2018年,人,385
420,船舶観光上陸許可を受けた外国人,50000,総数,52620,関門(門司),2017000000,2017年,人,1182
420,船舶観光上陸許可を受けた外国人,50000,総数,52630,関門(戸畑),2019000000,2019年,人,27450
420,船舶観光上陸許可を受けた外国人,50000,総数,52630,関門(戸畑),2018000000,2018年,人,42049
420,船舶観光上陸許可を受けた外国人,50000,総数,52630,関門(戸畑),2017000000,2017年,人,77906
420,船舶観光上陸許可を受けた外国人,50000,総数,52630,関門(戸畑),2016000000,2016年,人,4636
420,船舶観光上陸許可を受けた外国人,50000,総数,52670,鹿児島,2024000000,2024年,人,26673
420,船舶観光上陸許可を受けた外国人,50000,総数,52670,鹿児島,2023000000,2023年,人,7945
420,船舶観光上陸許可を受けた外国人,50000,総数,52670,鹿児島,2020000000,2020年,人,5747
420,船舶観光上陸許可を受けた外国人,50000,総数,52670,鹿児島,2019000000,2019年,人,127061
420,船舶観光上陸許可を受けた外国人,50000,総数,52670,鹿児島,2018000000,2018年,人,162961
420,船舶観光上陸許可を受けた外国人,50000,総数,52670,鹿児島,2017000000,2017年,人,115210
420,船舶観光上陸許可を受けた外国人,50000,総数,52670,鹿児島,2016000000,2016年,人,98326
420,船舶観光上陸許可を受けた外国人,50000,総数,52700,細島,2016000000,2016年,人,1463
420,船舶観光上陸許可を受けた外国人,50000,総数,52710,油津,2018000000,2018年,人,1
420,船舶観光上陸許可を受けた外国人,50000,総数,52860,那覇,2024000000,2024年,人,318630
420,船舶観光上陸許可を受けた外国人,50000,総数,52860,那覇,2023000000,2023年,人,82438
420,船舶観光上陸許可を受けた外国人,50000,総数,52860,那覇,2020000000,2020年,人,35208
420,船舶観光上陸許可を受けた外国人,50000,総数,52860,那覇,2019000000,2019年,人,522973
420,船舶観光上陸許可を受けた外国人,50000,総数,52860,那覇,2018000000,2018年,人,498656
420,船舶観光上陸許可を受けた外国人,50000,総数,52860,那覇,2017000000,2017年,人,372422
420,船舶観光上陸許可を受けた外国人,50000,総数,52860,那覇,2016000000,2016年,人,258735
420,船舶観光上陸許可を受けた外国人,50000,総数,52890,平良,2024000000,2024年,人,47195
420,船舶観光上陸許可を受けた外国人,50000,総数,52890,平良,2023000000,2023年,人,2
420,船舶観光上陸許可を受けた外国人,50000,総数,52890,平良,2020000000,2020年,人,1011
420,船舶観光上陸許可を受けた外国人,50000,総数,52890,平良,2019000000,2019年,人,97150
420,船舶観光上陸許可を受けた外国人,50000,総数,52890,平良,2018000000,2018年,人,93322
420,船舶観光上陸許可を受けた外国人,50000,総数,52890,平良,2017000000,2017年,人,80149
420,船舶観光上陸許可を受けた外国人,50000,総数,52890,平良,2016000000,2016年,人,64373
420,船舶観光上陸許可を受けた外国人,50000,総数,52900,石垣,2024000000,2024年,人,99270
420,船舶観光上陸許可を受けた外国人,50000,総数,52900,石垣,2023000000,2023年,人,3079
420,船舶観光上陸許可を受けた外国人,50000,総数,52900,石垣,2020000000,2020年,人,10379
420,船舶観光上陸許可を受けた外国人,50000,総数,52900,石垣,2019000000,2019年,人,124867
420,船舶観光上陸許可を受けた外国人,50000,総数,52900,石垣,2018000000,2018年,人,105376
420,船舶観光上陸許可を受けた外国人,50000,総数,52900,石垣,2017000000,2017年,人,107683
420,船舶観光上陸許可を受けた外国人,50000,総数,52900,石垣,2016000000,2016年,人,107301
420,船舶観光上陸許可を受けた外国人,50000,総数,53020,金武中城,2020000000,2020年,人,4302
420,船舶観光上陸許可を受けた外国人,50000,総数,53020,金武中城,2019000000,2019年,人,30903
420,船舶観光上陸許可を受けた外国人,50000,総数,53020,金武中城,2018000000,2018年,人,15481
420,船舶観光上陸許可を受けた外国人,50000,総数,53020,金武中城,2017000000,2017年,人,3388
420,船舶観光上陸許可を受けた外国人,50000,総数,53020,金武中城,2016000000,2016年,人,1373
420,船舶観光上陸許可を受けた外国人,50040,アジア,50000,総数,2024000000,2024年,人,1216530
420,船舶観光上陸許可を受けた外国人,50040,アジア,50000,総数,2023000000,2023年,人,157527
420,船舶観光上陸許可を受けた外国人,50040,アジア,50000,総数,2020000000,2020年,人,116830
420,船舶観光上陸許可を受けた外国人,50040,アジア,50000,総数,2019000000,2019年,人,1953714
420,船舶観光上陸許可を受けた外国人,50040,アジア,50000,総数,2018000000,2018年,人,2277144
420,船舶観光上陸許可を受けた外国人,50040,アジア,50000,総数,2017000000,2017年,人,2394800
420,船舶観光上陸許可を受けた外国人,50040,アジア,50000,総数,2016000000,2016年,人,1882359
420,船舶観光上陸許可を受けた外国人,50040,アジア,50130,釧路,2019000000,2019年,人,3
420,船舶観光上陸許可を受けた外国人,50040,アジア,50130,釧路,2018000000,2018年,人,1
420,船舶観光上陸許可を受けた外国人,50040,アジア,50160,小樽,2024000000,2024年,人,3583
420,船舶観光上陸許可を受けた外国人,50040,アジア,50160,小樽,2023000000,2023年,人,2096
420,船舶観光上陸許可を受けた外国人,50040,アジア,50160,小樽,2019000000,2019年,人,2651
420,船舶観光上陸許可を受けた外国人,50040,アジア,50160,小樽,2018000000,2018年,人,2
420,船舶観光上陸許可を受けた外国人,50040,アジア,50160,小樽,2017000000,2017年,人,2682
420,船舶観光上陸許可を受けた外国人,50040,アジア,50160,小樽,2016000000,2016年,人,1982
420,船舶観光上陸許可を受けた外国人,50040,アジア,50170,室蘭,2023000000,2023年,人,1971
420,船舶観光上陸許可を受けた外国人,50040,アジア,50170,室蘭,2018000000,2018年,人,2988
420,船舶観光上陸許可を受けた外国人,50040,アジア,50170,室蘭,2016000000,2016年,人,8595
420,船舶観光上陸許可を受けた外国人,50040,アジア,50180,函館,2024000000,2024年,人,1641
420,船舶観光上陸許可を受けた外国人,50040,アジア,50180,函館,2019000000,2019年,人,1
420,船舶観光上陸許可を受けた外国人,50040,アジア,50180,函館,2017000000,2017年,人,545
420,船舶観光上陸許可を受けた外国人,50040,アジア,50180,函館,2016000000,2016年,人,3
420,船舶観光上陸許可を受けた外国人,50040,アジア,50320,青森,2018000000,2018年,人,0
420,船舶観光上陸許可を受けた外国人,50040,アジア,50320,青森,2017000000,2017年,人,0
420,船舶観光上陸許可を受けた外国人,50040,アジア,50380,秋田船川,2024000000,2024年,人,0
420,船舶観光上陸許可を受けた外国人,50040,アジア,50580,東京,2023000000,2023年,人,0
420,船舶観光上陸許可を受けた外国人,50040,アジア,50580,東京,2019000000,2019年,人,0
420,船舶観光上陸許可を受けた外国人,50040,アジア,50580,東京,2018000000,2018年,人,0
420,船舶観光上陸許可を受けた外国人,50040,アジア,50580,東京,2016000000,2016年,人,832
420,船舶観光上陸許可を受けた外国人,50040,アジア,50600,新潟,2024000000,2024年,人,2001
420,船舶観光上陸許可を受けた外国人,50040,アジア,50740,横浜,2024000000,2024年,人,1
420,船舶観光上陸許可を受けた外国人,50040,アジア,50740,横浜,2023000000,2023年,人,1
420,船舶観光上陸許可を受けた外国人,50040,アジア,50740,横浜,2019000000,2019年,人,3114
420,船舶観光上陸許可を受けた外国人,50040,アジア,50740,横浜,2018000000,2018年,人,29
420,船舶観光上陸許可を受けた外国人,50040,アジア,50740,横浜,2017000000,2017年,人,209
420,船舶観光上陸許可を受けた外国人,50040,アジア,50740,横浜,2016000000,2016年,人,1
420,船舶観光上陸許可を受けた外国人,50040,アジア,50850,清水,2024000000,2024年,人,214
420,船舶観光上陸許可を受けた外国人,50040,アジア,50980,名古屋,2016000000,2016年,人,4
420,船舶観光上陸許可を受けた外国人,50040,アジア,51090,金沢,2024000000,2024年,人,2
420,船舶観光上陸許可を受けた外国人,50040,アジア,51090,金沢,2019000000,2019年,人,0
420,船舶観光上陸許可を受けた外国人,50040,アジア,51090,金沢,2018000000,2018年,人,5622
420,船舶観光上陸許可を受けた外国人,50040,アジア,51090,金沢,2017000000,2017年,人,2011
420,船舶観光上陸許可を受けた外国人,50040,アジア,51270,大阪,2024000000,2024年,人,4057
420,船舶観光上陸許可を受けた外国人,50040,アジア,51270,大阪,2019000000,2019年,人,38145
420,船舶観光上陸許可を受けた外国人,50040,アジア,51270,大阪,2018000000,2018年,人,23722
420,船舶観光上陸許可を受けた外国人,50040,アジア,51270,大阪,2017000000,2017年,人,30900
420,船舶観光上陸許可を受けた外国人,50040,アジア,51270,大阪,2016000000,2016年,人,23
420,船舶観光上陸許可を受けた外国人,50040,アジア,51280,舞鶴,2024000000,2024年,人,1
420,船舶観光上陸許可を受けた外国人,50040,アジア,51280,舞鶴,2019000000,2019年,人,14444
420,船舶観光上陸許可を受けた外国人,50040,アジア,51280,舞鶴,2017000000,2017年,人,1565
420,船舶観光上陸許可を受けた外国人,50040,アジア,51410,神戸,2024000000,2024年,人,13074
420,船舶観光上陸許可を受けた外国人,50040,アジア,51410,神戸,2020000000,2020年,人,1
420,船舶観光上陸許可を受けた外国人,50040,アジア,51410,神戸,2019000000,2019年,人,9198
420,船舶観光上陸許可を受けた外国人,50040,アジア,51410,神戸,2018000000,2018年,人,5640
420,船舶観光上陸許可を受けた外国人,50040,アジア,51410,神戸,2017000000,2017年,人,7779
420,船舶観光上陸許可を受けた外国人,50040,アジア,51410,神戸,2016000000,2016年,人,6903
420,船舶観光上陸許可を受けた外国人,50040,アジア,51530,高知,2019000000,2019年,人,2066
420,船舶観光上陸許可を受けた外国人,50040,アジア,51530,高知,2018000000,2018年,人,14529
420,船舶観光上陸許可を受けた外国人,50040,アジア,51530,高知,2017000000,2017年,人,30158
420,船舶観光上陸許可を受けた外国人,50040,アジア,51530,高知,2016000000,2016年,人,27275
420,船舶観光上陸許可を受けた外国人,50040,アジア,51810,広島,2024000000,2024年,人,0
420,船舶観光上陸許可を受けた外国人,50040,アジア,51810,広島,2023000000,2023年,人,647
420,船舶観光上陸許可を受けた外国人,50040,アジア,51810,広島,2018000000,2018年,人,12979
420,船舶観光上陸許可を受けた外国人,50040,アジア,51810,広島,2017000000,2017年,人,27359
420,船舶観光上陸許可を受けた外国人,50040,アジア,51810,広島,2016000000,2016年,人,18119
420,船舶観光上陸許可を受けた外国人,50040,アジア,51880,境,2024000000,2024年,人,4580
420,船舶観光上陸許可を受けた外国人,50040,アジア,51880,境,2023000000,2023年,人,1853
420,船舶観光上陸許可を受けた外国人,50040,アジア,51880,境,2019000000,2019年,人,6422
420,船舶観光上陸許可を受けた外国人,50040,アジア,51880,境,2018000000,2018年,人,10169
420,船舶観光上陸許可を受けた外国人,50040,アジア,51880,境,2017000000,2017年,人,15930
420,船舶観光上陸許可を受けた外国人,50040,アジア,51880,境,2016000000,2016年,人,11493
420,船舶観光上陸許可を受けた外国人,50040,アジア,52170,関門(下関),2024000000,2024年,人,12228
420,船舶観光上陸許可を受けた外国人,50040,アジア,52170,関門(下関),2023000000,2023年,人,1757
420,船舶観光上陸許可を受けた外国人,50040,アジア,52170,関門(下関),2019000000,2019年,人,48035
420,船舶観光上陸許可を受けた外国人,50040,アジア,52170,関門(下関),2018000000,2018年,人,48227
420,船舶観光上陸許可を受けた外国人,50040,アジア,52170,関門(下関),2017000000,2017年,人,71183
420,船舶観光上陸許可を受けた外国人,50040,アジア,52170,関門(下関),2016000000,2016年,人,9483
420,船舶観光上陸許可を受けた外国人,50040,アジア,52310,博多,2024000000,2024年,人,366308
420,船舶観光上陸許可を受けた外国人,50040,アジア,52310,博多,2023000000,2023年,人,36294
420,船舶観光上陸許可を受けた外国人,50040,アジア,52310,博多,2020000000,2020年,人,44367
420,船舶観光上陸許可を受けた外国人,50040,アジア,52310,博多,2019000000,2019年,人,452141
420,船舶観光上陸許可を受けた外国人,50040,アジア,52310,博多,2018000000,2018年,人,524700
420,船舶観光上陸許可を受けた外国人,50040,アジア,52310,博多,2017000000,2017年,人,604428
420,船舶観光上陸許可を受けた外国人,50040,アジア,52310,博多,2016000000,2016年,人,774433
420,船舶観光上陸許可を受けた外国人,50040,アジア,52340,唐津,2019000000,2019年,人,4
420,船舶観光上陸許可を受けた外国人,50040,アジア,52340,唐津,2018000000,2018年,人,9
420,船舶観光上陸許可を受けた外国人,50040,アジア,52350,長崎,2024000000,2024年,人,178301
420,船舶観光上陸許可を受けた外国人,50040,アジア,52350,長崎,2023000000,2023年,人,21056
420,船舶観光上陸許可を受けた外国人,50040,アジア,52350,長崎,2020000000,2020年,人,14724
420,船舶観光上陸許可を受けた外国人,50040,アジア,52350,長崎,2019000000,2019年,人,332105
420,船舶観光上陸許可を受けた外国人,50040,アジア,52350,長崎,2018000000,2018年,人,462033
420,船舶観光上陸許可を受けた外国人,50040,アジア,52350,長崎,2017000000,2017年,人,573127
420,船舶観光上陸許可を受けた外国人,50040,アジア,52350,長崎,2016000000,2016年,人,416813
420,船舶観光上陸許可を受けた外国人,50040,アジア,52370,佐世保,2024000000,2024年,人,124950
420,船舶観光上陸許可を受けた外国人,50040,アジア,52370,佐世保,2023000000,2023年,人,5590
420,船舶観光上陸許可を受けた外国人,50040,アジア,52370,佐世保,2020000000,2020年,人,3818
420,船舶観光上陸許可を受けた外国人,50040,アジア,52370,佐世保,2019000000,2019年,人,111782
420,船舶観光上陸許可を受けた外国人,50040,アジア,52370,佐世保,2018000000,2018年,人,181326
420,船舶観光上陸許可を受けた外国人,50040,アジア,52370,佐世保,2017000000,2017年,人,80642
420,船舶観光上陸許可を受けた外国人,50040,アジア,52370,佐世保,2016000000,2016年,人,60769
420,船舶観光上陸許可を受けた外国人,50040,アジア,52470,八代,2024000000,2024年,人,31594
420,船舶観光上陸許可を受けた外国人,50040,アジア,52470,八代,2019000000,2019年,人,36392
420,船舶観光上陸許可を受けた外国人,50040,アジア,52470,八代,2018000000,2018年,人,93817
420,船舶観光上陸許可を受けた外国人,50040,アジア,52470,八代,2017000000,2017年,人,210853
420,船舶観光上陸許可を受けた外国人,50040,アジア,52470,八代,2016000000,2016年,人,28785
420,船舶観光上陸許可を受けた外国人,50040,アジア,52620,関門(門司),2023000000,2023年,人,486
420,船舶観光上陸許可を受けた外国人,50040,アジア,52620,関門(門司),2019000000,2019年,人,985
420,船舶観光上陸許可を受けた外国人,50040,アジア,52620,関門(門司),2018000000,2018年,人,385
420,船舶観光上陸許可を受けた外国人,50040,アジア,52620,関門(門司),2017000000,2017年,人,1180
420,船舶観光上陸許可を受けた外国人,50040,アジア,52630,関門(戸畑),2019000000,2019年,人,25215
420,船舶観光上陸許可を受けた外国人,50040,アジア,52630,関門(戸畑),2018000000,2018年,人,41896
420,船舶観光上陸許可を受けた外国人,50040,アジア,52630,関門(戸畑),2017000000,2017年,人,77238
420,船舶観光上陸許可を受けた外国人,50040,アジア,52630,関門(戸畑),2016000000,2016年,人,4620
420,船舶観光上陸許可を受けた外国人,50040,アジア,52670,鹿児島,2024000000,2024年,人,24487
420,船舶観光上陸許可を受けた外国人,50040,アジア,52670,鹿児島,2023000000,2023年,人,3784
420,船舶観光上陸許可を受けた外国人,50040,アジア,52670,鹿児島,2020000000,2020年,人,5683
420,船舶観光上陸許可を受けた外国人,50040,アジア,52670,鹿児島,2019000000,2019年,人,120469
420,船舶観光上陸許可を受けた外国人,50040,アジア,52670,鹿児島,2018000000,2018年,人,161138
420,船舶観光上陸許可を受けた外国人,50040,アジア,52670,鹿児島,2017000000,2017年,人,113565
420,船舶観光上陸許可を受けた外国人,50040,アジア,52670,鹿児島,2016000000,2016年,人,97359
420,船舶観光上陸許可を受けた外国人,50040,アジア,52700,細島,2016000000,2016年,人,1446
420,船舶観光上陸許可を受けた外国人,50040,アジア,52710,油津,2018000000,2018年,人,1
420,船舶観光上陸許可を受けた外国人,50040,アジア,52860,那覇,2024000000,2024年,人,310545
420,船舶観光上陸許可を受けた外国人,50040,アジア,52860,那覇,2023000000,2023年,人,81039
420,船舶観光上陸許可を受けた外国人,50040,アジア,52860,那覇,2020000000,2020年,人,34476
420,船舶観光上陸許可を受けた外国人,50040,アジア,52860,那覇,2019000000,2019年,人,504410
420,船舶観光上陸許可を受けた外国人,50040,アジア,52860,那覇,2018000000,2018年,人,476324
420,船舶観光上陸許可を受けた外国人,50040,アジア,52860,那覇,2017000000,2017年,人,355967
420,船舶観光上陸許可を受けた外国人,50040,アジア,52860,那覇,2016000000,2016年,人,242848
420,船舶観光上陸許可を受けた外国人,50040,アジア,52890,平良,2024000000,2024年,人,46252
420,船舶観光上陸許可を受けた外国人,50040,アジア,52890,平良,2023000000,2023年,人,0
420,船舶観光上陸許可を受けた外国人,50040,アジア,52890,平良,2020000000,2020年,人,1009
420,船舶観光上陸許可を受けた外国人,50040,アジア,52890,平良,2019000000,2019年,人,96825
420,船舶観光上陸許可を受けた外国人,50040,アジア,52890,平良,2018000000,2018年,人,91964
420,船舶観光上陸許可を受けた外国人,50040,アジア,52890,平良,2017000000,2017年,人,79313
420,船舶観光上陸許可を受けた外国人,50040,アジア,52890,平良,2016000000,2016年,人,64134
420,船舶観光上陸許可を受けた外国人,50040,アジア,52900,石垣,2024000000,2024年,人,92711
420,船舶観光上陸許可を受けた外国人,50040,アジア,52900,石垣,2023000000,2023年,人,953
420,船舶観光上陸許可を受けた外国人,50040,アジア,52900,石垣,2020000000,2020年,人,10365
420,船舶観光上陸許可を受けた外国人,50040,アジア,52900,石垣,2019000000,2019年,人,118500
420,船舶観光上陸許可を受けた外国人,50040,アジア,52900,石垣,2018000000,2018年,人,104234
420,船舶観光上陸許可を受けた外国人,50040,アジア,52900,石垣,2017000000,2017年,人,104782
420,船舶観光上陸許可を受けた外国人,50040,アジア,52900,石垣,2016000000,2016年,人,105075
420,船舶観光上陸許可を受けた外国人,50040,アジア,53020,金武中城,2020000000,2020年,人,2387
