表章項目_code,表章項目,出生児数・死亡者数_code,出生児数・死亡者数,男女別_code,男女別,日本人・外国人_code,日本人・外国人,全国・都道府県_code,全国・都道府県,時間軸（年間）_code,時間軸（年間）,unit,value
012,出生児数・死亡者数,001,出生児数,000,男女計,001,日本人,43000,熊本県,2023001011,2023年10月～2024年9月,人,10483
012,出生児数・死亡者数,001,出生児数,000,男女計,001,日本人,44000,大分県,2023001011,2023年10月～2024年9月,人,6053
012,出生児数・死亡者数,001,出生児数,000,男女計,001,日本人,45000,宮崎県,2023001011,2023年10月～2024年9月,人,5989
012,出生児数・死亡者数,001,出生児数,000,男女計,001,日本人,46000,鹿児島県,2023001011,2023年10月～2024年9月,人,9172
012,出生児数・死亡者数,001,出生児数,000,男女計,001,日本人,47000,沖縄県,2023001011,2023年10月～2024年9月,人,11954
012,出生児数・死亡者数,001,出生児数,000,男女計,002,外国人,00000,全国,2023001011,2023年10月～2024年9月,人,21900
012,出生児数・死亡者数,001,出生児数,000,男女計,002,外国人,01000,北海道,2023001011,2023年10月～2024年9月,人,194
012,出生児数・死亡者数,001,出生児数,000,男女計,002,外国人,02000,青森県,2023001011,2023年10月～2024年9月,人,9
012,出生児数・死亡者数,001,出生児数,000,男女計,002,外国人,03000,岩手県,2023001011,2023年10月～2024年9月,人,22
012,出生児数・死亡者数,001,出生児数,000,男女計,002,外国人,04000,宮城県,2023001011,2023年10月～2024年9月,人,138
012,出生児数・死亡者数,001,出生児数,000,男女計,002,外国人,05000,秋田県,2023001011,2023年10月～2024年9月,人,8
012,出生児数・死亡者数,001,出生児数,000,男女計,002,外国人,06000,山形県,2023001011,2023年10月～2024年9月,人,14
012,出生児数・死亡者数,001,出生児数,000,男女計,002,外国人,07000,福島県,2023001011,2023年10月～2024年9月,人,81
012,出生児数・死亡者数,001,出生児数,000,男女計,002,外国人,08000,茨城県,2023001011,2023年10月～2024年9月,人,589
012,出生児数・死亡者数,001,出生児数,000,男女計,002,外国人,09000,栃木県,2023001011,2023年10月～2024年9月,人,354
012,出生児数・死亡者数,001,出生児数,000,男女計,002,外国人,10000,群馬県,2023001011,2023年10月～2024年9月,人,678
012,出生児数・死亡者数,001,出生児数,000,男女計,002,外国人,11000,埼玉県,2023001011,2023年10月～2024年9月,人,2037
012,出生児数・死亡者数,001,出生児数,000,男女計,002,外国人,12000,千葉県,2023001011,2023年10月～2024年9月,人,1712
012,出生児数・死亡者数,001,出生児数,000,男女計,002,外国人,13000,東京都,2023001011,2023年10月～2024年9月,人,3856
012,出生児数・死亡者数,001,出生児数,000,男女計,002,外国人,14000,神奈川県,2023001011,2023年10月～2024年9月,人,1951
012,出生児数・死亡者数,001,出生児数,000,男女計,002,外国人,15000,新潟県,2023001011,2023年10月～2024年9月,人,66
012,出生児数・死亡者数,001,出生児数,000,男女計,002,外国人,16000,富山県,2023001011,2023年10月～2024年9月,人,144
012,出生児数・死亡者数,001,出生児数,000,男女計,002,外国人,17000,石川県,2023001011,2023年10月～2024年9月,人,98
012,出生児数・死亡者数,001,出生児数,000,男女計,002,外国人,18000,福井県,2023001011,2023年10月～2024年9月,人,90
012,出生児数・死亡者数,001,出生児数,000,男女計,002,外国人,19000,山梨県,2023001011,2023年10月～2024年9月,人,102
012,出生児数・死亡者数,001,出生児数,000,男女計,002,外国人,20000,長野県,2023001011,2023年10月～2024年9月,人,173
012,出生児数・死亡者数,001,出生児数,000,男女計,002,外国人,21000,岐阜県,2023001011,2023年10月～2024年9月,人,491
012,出生児数・死亡者数,001,出生児数,000,男女計,002,外国人,22000,静岡県,2023001011,2023年10月～2024年9月,人,814
012,出生児数・死亡者数,001,出生児数,000,男女計,002,外国人,23000,愛知県,2023001011,2023年10月～2024年9月,人,2564
012,出生児数・死亡者数,001,出生児数,000,男女計,002,外国人,24000,三重県,2023001011,2023年10月～2024年9月,人,460
012,出生児数・死亡者数,001,出生児数,000,男女計,002,外国人,25000,滋賀県,2023001011,2023年10月～2024年9月,人,261
012,出生児数・死亡者数,001,出生児数,000,男女計,002,外国人,26000,京都府,2023001011,2023年10月～2024年9月,人,297
012,出生児数・死亡者数,001,出生児数,000,男女計,002,外国人,27000,大阪府,2023001011,2023年10月～2024年9月,人,1877
012,出生児数・死亡者数,001,出生児数,000,男女計,002,外国人,28000,兵庫県,2023001011,2023年10月～2024年9月,人,685
012,出生児数・死亡者数,001,出生児数,000,男女計,002,外国人,29000,奈良県,2023001011,2023年10月～2024年9月,人,85
012,出生児数・死亡者数,001,出生児数,000,男女計,002,外国人,30000,和歌山県,2023001011,2023年10月～2024年9月,人,24
012,出生児数・死亡者数,001,出生児数,000,男女計,002,外国人,31000,鳥取県,2023001011,2023年10月～2024年9月,人,15
012,出生児数・死亡者数,001,出生児数,000,男女計,002,外国人,32000,島根県,2023001011,2023年10月～2024年9月,人,95
012,出生児数・死亡者数,001,出生児数,000,男女計,002,外国人,33000,岡山県,2023001011,2023年10月～2024年9月,人,173
012,出生児数・死亡者数,001,出生児数,000,男女計,002,外国人,34000,広島県,2023001011,2023年10月～2024年9月,人,309
012,出生児数・死亡者数,001,出生児数,000,男女計,002,外国人,35000,山口県,2023001011,2023年10月～2024年9月,人,76
012,出生児数・死亡者数,001,出生児数,000,男女計,002,外国人,36000,徳島県,2023001011,2023年10月～2024年9月,人,29
012,出生児数・死亡者数,001,出生児数,000,男女計,002,外国人,37000,香川県,2023001011,2023年10月～2024年9月,人,77
012,出生児数・死亡者数,001,出生児数,000,男女計,002,外国人,38000,愛媛県,2023001011,2023年10月～2024年9月,人,54
012,出生児数・死亡者数,001,出生児数,000,男女計,002,外国人,39000,高知県,2023001011,2023年10月～2024年9月,人,7
012,出生児数・死亡者数,001,出生児数,000,男女計,002,外国人,40000,福岡県,2023001011,2023年10月～2024年9月,人,635
012,出生児数・死亡者数,001,出生児数,000,男女計,002,外国人,41000,佐賀県,2023001011,2023年10月～2024年9月,人,49
012,出生児数・死亡者数,001,出生児数,000,男女計,002,外国人,42000,長崎県,2023001011,2023年10月～2024年9月,人,72
012,出生児数・死亡者数,001,出生児数,000,男女計,002,外国人,43000,熊本県,2023001011,2023年10月～2024年9月,人,96
012,出生児数・死亡者数,001,出生児数,000,男女計,002,外国人,44000,大分県,2023001011,2023年10月～2024年9月,人,69
012,出生児数・死亡者数,001,出生児数,000,男女計,002,外国人,45000,宮崎県,2023001011,2023年10月～2024年9月,人,30
012,出生児数・死亡者数,001,出生児数,000,男女計,002,外国人,46000,鹿児島県,2023001011,2023年10月～2024年9月,人,41
