単位_db_code,単位_db,表頭_集計項目_db_code,表頭_集計項目_db,表側_集計項目_db_code,表側_集計項目_db,都道府県_code,都道府県,時間軸_db_code,時間軸_db,unit,value
0101300,百万円,01040110,販売額等,01030100,販売額等,01000,北海道,2022000000,2022年,,289141
0101300,百万円,01040110,販売額等,01030100,販売額等,01000,北海道,2023000000,2023年,,308834
0101300,百万円,01040110,販売額等,01030100,販売額等,01000,北海道,2024000000,2024年,,326976
0101300,百万円,01040110,販売額等,01030100,販売額等,01000,北海道,2021100000,2021年度,,282274
0101300,百万円,01040110,販売額等,01030100,販売額等,01000,北海道,2022100000,2022年度,,293364
0101300,百万円,01040110,販売額等,01030100,販売額等,01000,北海道,2023100000,2023年度,,314671
0101300,百万円,01040110,販売額等,01030100,販売額等,01000,北海道,2023001012,2023年10～12月,,78858
0101300,百万円,01040110,販売額等,01030100,販売額等,01000,北海道,2024000103,2024年1～3月,,78778
0101300,百万円,01040110,販売額等,01030100,販売額等,01000,北海道,2024000406,2024年4～6月,,79431
0101300,百万円,01040110,販売額等,01030100,販売額等,01000,北海道,2024000709,2024年7～9月,,84343
0101300,百万円,01040110,販売額等,01030100,販売額等,01000,北海道,2024001012,2024年10～12月,,84424
0101300,百万円,01040110,販売額等,01030100,販売額等,01000,北海道,2023001111,2023年11月,,25861
0101300,百万円,01040110,販売額等,01030100,販売額等,01000,北海道,2023001212,2023年12月,,27019
0101300,百万円,01040110,販売額等,01030100,販売額等,01000,北海道,2024000101,2024年1月,,27591
0101300,百万円,01040110,販売額等,01030100,販売額等,01000,北海道,2024000202,2024年2月,,25954
0101300,百万円,01040110,販売額等,01030100,販売額等,01000,北海道,2024000303,2024年3月,,25233
0101300,百万円,01040110,販売額等,01030100,販売額等,01000,北海道,2024000404,2024年4月,,26689
0101300,百万円,01040110,販売額等,01030100,販売額等,01000,北海道,2024000505,2024年5月,,25599
0101300,百万円,01040110,販売額等,01030100,販売額等,01000,北海道,2024000606,2024年6月,,27143
0101300,百万円,01040110,販売額等,01030100,販売額等,01000,北海道,2024000707,2024年7月,,27849
0101300,百万円,01040110,販売額等,01030100,販売額等,01000,北海道,2024000808,2024年8月,,28514
0101300,百万円,01040110,販売額等,01030100,販売額等,01000,北海道,2024000909,2024年9月,,27980
0101300,百万円,01040110,販売額等,01030100,販売額等,01000,北海道,2024001010,2024年10月,,26561
0101300,百万円,01040110,販売額等,01030100,販売額等,01000,北海道,2024001111,2024年11月,,27156
0101300,百万円,01040110,販売額等,01030100,販売額等,01000,北海道,2024001212,2024年12月,,30707
0101300,百万円,01040110,販売額等,01030100,販売額等,01000,北海道,2025000101,2025年1月,,27673
0101300,百万円,01040110,販売額等,01030100,販売額等,02000,青森県,2022000000,2022年,,72358
0101300,百万円,01040110,販売額等,01030100,販売額等,02000,青森県,2023000000,2023年,,76416
0101300,百万円,01040110,販売額等,01030100,販売額等,02000,青森県,2024000000,2024年,,79937
0101300,百万円,01040110,販売額等,01030100,販売額等,02000,青森県,2021100000,2021年度,,68882
0101300,百万円,01040110,販売額等,01030100,販売額等,02000,青森県,2022100000,2022年度,,72985
0101300,百万円,01040110,販売額等,01030100,販売額等,02000,青森県,2023100000,2023年度,,77680
0101300,百万円,01040110,販売額等,01030100,販売額等,02000,青森県,2023001012,2023年10～12月,,19718
0101300,百万円,01040110,販売額等,01030100,販売額等,02000,青森県,2024000103,2024年1～3月,,18906
0101300,百万円,01040110,販売額等,01030100,販売額等,02000,青森県,2024000406,2024年4～6月,,19714
0101300,百万円,01040110,販売額等,01030100,販売額等,02000,青森県,2024000709,2024年7～9月,,20759
0101300,百万円,01040110,販売額等,01030100,販売額等,02000,青森県,2024001012,2024年10～12月,,20558
0101300,百万円,01040110,販売額等,01030100,販売額等,02000,青森県,2023001111,2023年11月,,6331
0101300,百万円,01040110,販売額等,01030100,販売額等,02000,青森県,2023001212,2023年12月,,6949
0101300,百万円,01040110,販売額等,01030100,販売額等,02000,青森県,2024000101,2024年1月,,6395
0101300,百万円,01040110,販売額等,01030100,販売額等,02000,青森県,2024000202,2024年2月,,6198
0101300,百万円,01040110,販売額等,01030100,販売額等,02000,青森県,2024000303,2024年3月,,6313
0101300,百万円,01040110,販売額等,01030100,販売額等,02000,青森県,2024000404,2024年4月,,6426
0101300,百万円,01040110,販売額等,01030100,販売額等,02000,青森県,2024000505,2024年5月,,6542
0101300,百万円,01040110,販売額等,01030100,販売額等,02000,青森県,2024000606,2024年6月,,6746
0101300,百万円,01040110,販売額等,01030100,販売額等,02000,青森県,2024000707,2024年7月,,6854
0101300,百万円,01040110,販売額等,01030100,販売額等,02000,青森県,2024000808,2024年8月,,7210
0101300,百万円,01040110,販売額等,01030100,販売額等,02000,青森県,2024000909,2024年9月,,6695
0101300,百万円,01040110,販売額等,01030100,販売額等,02000,青森県,2024001010,2024年10月,,6623
0101300,百万円,01040110,販売額等,01030100,販売額等,02000,青森県,2024001111,2024年11月,,6586
0101300,百万円,01040110,販売額等,01030100,販売額等,02000,青森県,2024001212,2024年12月,,7349
0101300,百万円,01040110,販売額等,01030100,販売額等,02000,青森県,2025000101,2025年1月,,6418
0101300,百万円,01040110,販売額等,01030100,販売額等,03000,岩手県,2022000000,2022年,,103164
0101300,百万円,01040110,販売額等,01030100,販売額等,03000,岩手県,2023000000,2023年,,113987
0101300,百万円,01040110,販売額等,01030100,販売額等,03000,岩手県,2024000000,2024年,,123598
0101300,百万円,01040110,販売額等,01030100,販売額等,03000,岩手県,2021100000,2021年度,,91289
0101300,百万円,01040110,販売額等,01030100,販売額等,03000,岩手県,2022100000,2022年度,,106032
0101300,百万円,01040110,販売額等,01030100,販売額等,03000,岩手県,2023100000,2023年度,,116572
0101300,百万円,01040110,販売額等,01030100,販売額等,03000,岩手県,2023001012,2023年10～12月,,29404
0101300,百万円,01040110,販売額等,01030100,販売額等,03000,岩手県,2024000103,2024年1～3月,,28690
0101300,百万円,01040110,販売額等,01030100,販売額等,03000,岩手県,2024000406,2024年4～6月,,30547
0101300,百万円,01040110,販売額等,01030100,販売額等,03000,岩手県,2024000709,2024年7～9月,,32255
0101300,百万円,01040110,販売額等,01030100,販売額等,03000,岩手県,2024001012,2024年10～12月,,32106
0101300,百万円,01040110,販売額等,01030100,販売額等,03000,岩手県,2023001111,2023年11月,,9500
0101300,百万円,01040110,販売額等,01030100,販売額等,03000,岩手県,2023001212,2023年12月,,10294
0101300,百万円,01040110,販売額等,01030100,販売額等,03000,岩手県,2024000101,2024年1月,,9562
0101300,百万円,01040110,販売額等,01030100,販売額等,03000,岩手県,2024000202,2024年2月,,9360
0101300,百万円,01040110,販売額等,01030100,販売額等,03000,岩手県,2024000303,2024年3月,,9768
0101300,百万円,01040110,販売額等,01030100,販売額等,03000,岩手県,2024000404,2024年4月,,9923
0101300,百万円,01040110,販売額等,01030100,販売額等,03000,岩手県,2024000505,2024年5月,,10142
0101300,百万円,01040110,販売額等,01030100,販売額等,03000,岩手県,2024000606,2024年6月,,10482
0101300,百万円,01040110,販売額等,01030100,販売額等,03000,岩手県,2024000707,2024年7月,,10693
0101300,百万円,01040110,販売額等,01030100,販売額等,03000,岩手県,2024000808,2024年8月,,11125
0101300,百万円,01040110,販売額等,01030100,販売額等,03000,岩手県,2024000909,2024年9月,,10437
0101300,百万円,01040110,販売額等,01030100,販売額等,03000,岩手県,2024001010,2024年10月,,10325
0101300,百万円,01040110,販売額等,01030100,販売額等,03000,岩手県,2024001111,2024年11月,,10328
0101300,百万円,01040110,販売額等,01030100,販売額等,03000,岩手県,2024001212,2024年12月,,11453
0101300,百万円,01040110,販売額等,01030100,販売額等,03000,岩手県,2025000101,2025年1月,,10207
0101300,百万円,01040110,販売額等,01030100,販売額等,04000,宮城県,2022000000,2022年,,158757
0101300,百万円,01040110,販売額等,01030100,販売額等,04000,宮城県,2023000000,2023年,,171752
0101300,百万円,01040110,販売額等,01030100,販売額等,04000,宮城県,2024000000,2024年,,183792
0101300,百万円,01040110,販売額等,01030100,販売額等,04000,宮城県,2021100000,2021年度,,149527
0101300,百万円,01040110,販売額等,01030100,販売額等,04000,宮城県,2022100000,2022年度,,161724
0101300,百万円,01040110,販売額等,01030100,販売額等,04000,宮城県,2023100000,2023年度,,175442
0101300,百万円,01040110,販売額等,01030100,販売額等,04000,宮城県,2023001012,2023年10～12月,,43960
