表章項目_code,表章項目,調査項目_code,調査項目,全体_code,全体,国籍_code,国籍,時間軸（四半期）_code,時間軸（四半期）,unit,value
100,回答数,100,全体,00100,全体,00180,フィリピン,2017000406,2017年4～6月期,人,157
100,回答数,100,全体,00100,全体,00180,フィリピン,2017000103,2017年1～3月期,人,146
100,回答数,100,全体,00100,全体,00180,フィリピン,2016001012,2016年10～12月期,人,150
100,回答数,100,全体,00100,全体,00180,フィリピン,2016000709,2016年7～9月期,人,149
100,回答数,100,全体,00100,全体,00180,フィリピン,2016000406,2016年4～6月期,人,146
100,回答数,100,全体,00100,全体,00180,フィリピン,2016000103,2016年1～3月期,人,135
100,回答数,100,全体,00100,全体,00180,フィリピン,2015001012,2015年10～12月期,人,136
100,回答数,100,全体,00100,全体,00190,ベトナム,2017000709,2017年7～9月期,人,46
100,回答数,100,全体,00100,全体,00190,ベトナム,2017000406,2017年4～6月期,人,50
100,回答数,100,全体,00100,全体,00190,ベトナム,2017000103,2017年1～3月期,人,50
100,回答数,100,全体,00100,全体,00190,ベトナム,2016001012,2016年10～12月期,人,41
100,回答数,100,全体,00100,全体,00190,ベトナム,2016000709,2016年7～9月期,人,45
100,回答数,100,全体,00100,全体,00190,ベトナム,2016000406,2016年4～6月期,人,46
100,回答数,100,全体,00100,全体,00190,ベトナム,2016000103,2016年1～3月期,人,43
100,回答数,100,全体,00100,全体,00190,ベトナム,2015001012,2015年10～12月期,人,32
100,回答数,100,全体,00100,全体,00200,インド,2017000709,2017年7～9月期,人,145
100,回答数,100,全体,00100,全体,00200,インド,2017000406,2017年4～6月期,人,124
100,回答数,100,全体,00100,全体,00200,インド,2017000103,2017年1～3月期,人,135
100,回答数,100,全体,00100,全体,00200,インド,2016001012,2016年10～12月期,人,140
100,回答数,100,全体,00100,全体,00200,インド,2016000709,2016年7～9月期,人,147
100,回答数,100,全体,00100,全体,00200,インド,2016000406,2016年4～6月期,人,144
100,回答数,100,全体,00100,全体,00200,インド,2016000103,2016年1～3月期,人,132
100,回答数,100,全体,00100,全体,00200,インド,2015001012,2015年10～12月期,人,141
100,回答数,100,全体,00100,全体,00210,英国,2017000709,2017年7～9月期,人,108
100,回答数,100,全体,00100,全体,00210,英国,2017000406,2017年4～6月期,人,121
100,回答数,100,全体,00100,全体,00210,英国,2017000103,2017年1～3月期,人,101
100,回答数,100,全体,00100,全体,00210,英国,2016001012,2016年10～12月期,人,107
100,回答数,100,全体,00100,全体,00210,英国,2016000709,2016年7～9月期,人,111
100,回答数,100,全体,00100,全体,00210,英国,2016000406,2016年4～6月期,人,96
100,回答数,100,全体,00100,全体,00210,英国,2016000103,2016年1～3月期,人,123
100,回答数,100,全体,00100,全体,00210,英国,2015001012,2015年10～12月期,人,97
100,回答数,100,全体,00100,全体,00220,ドイツ,2017000709,2017年7～9月期,人,61
100,回答数,100,全体,00100,全体,00220,ドイツ,2017000406,2017年4～6月期,人,83
100,回答数,100,全体,00100,全体,00220,ドイツ,2017000103,2017年1～3月期,人,79
100,回答数,100,全体,00100,全体,00220,ドイツ,2016001012,2016年10～12月期,人,84
100,回答数,100,全体,00100,全体,00220,ドイツ,2016000709,2016年7～9月期,人,101
100,回答数,100,全体,00100,全体,00220,ドイツ,2016000406,2016年4～6月期,人,82
100,回答数,100,全体,00100,全体,00220,ドイツ,2016000103,2016年1～3月期,人,81
100,回答数,100,全体,00100,全体,00220,ドイツ,2015001012,2015年10～12月期,人,81
100,回答数,100,全体,00100,全体,00230,フランス,2017000709,2017年7～9月期,人,79
100,回答数,100,全体,00100,全体,00230,フランス,2017000406,2017年4～6月期,人,98
100,回答数,100,全体,00100,全体,00230,フランス,2017000103,2017年1～3月期,人,98
100,回答数,100,全体,00100,全体,00230,フランス,2016001012,2016年10～12月期,人,103
100,回答数,100,全体,00100,全体,00230,フランス,2016000709,2016年7～9月期,人,100
100,回答数,100,全体,00100,全体,00230,フランス,2016000406,2016年4～6月期,人,98
100,回答数,100,全体,00100,全体,00230,フランス,2016000103,2016年1～3月期,人,104
100,回答数,100,全体,00100,全体,00230,フランス,2015001012,2015年10～12月期,人,97
100,回答数,100,全体,00100,全体,00240,イタリア,2017000709,2017年7～9月期,人,137
100,回答数,100,全体,00100,全体,00240,イタリア,2017000406,2017年4～6月期,人,143
